Repo,Stars,Fork,Watch,Contributors,Issue_O,Issue_C,Pull_Rec_O,Pull_Rec_C,Check_list,1M_commit,RepoOwnerStars
https://github.com/facebook/mariana-trench,832,104,24,17,17,30,0,23,6,59,892000
https://github.com/facebook/react,188,38,6,1556,665,10729,250,11939,8,261,892000
https://github.com/facebook/jest,38,5,1,1351,932,5881,152,5773,7,133,892000
https://github.com/facebook/flow,21,2,1,735,2374,4191,111,2095,7,264,892000
https://github.com/facebook/OpenBIC,0,0,0,11,7,30,5,234,5,101,892000
https://github.com/facebook/transform360,1,0,0,9,23,42,2,7,5,0,892000
https://github.com/facebook/fishhook,5,1,0,15,26,27,8,29,5,0,892000
https://github.com/facebook/watchman,11,1,0,205,119,427,19,394,5,417,892000
https://github.com/microsoft/vscode,131,22,3,1635,6076,127295,282,11739,7,862,1789327
https://github.com/microsoft/TypeScript,81,11,2,656,5273,28330,244,14259,6,195,1789327
https://github.com/microsoft/Web-Dev-For-Beginners,49,7,2,136,4,183,0,403,6,3,1789327
https://github.com/microsoft/calculator,25,5,1,87,255,618,8,922,7,5,1789327
https://github.com/microsoft/LightGBM,14,4,1,257,179,2473,28,2516,6,34,1789327
https://github.com/microsoft/IoT-For-Beginners,10,1,0,54,26,70,2,258,5,4,1789327
https://github.com/microsoft/WinObjC,6,1,0,68,377,1447,9,1109,4,0,1789327
https://github.com/microsoft/DirectXTK,2,0,0,5,20,230,1,65,4,15,1789327
https://github.com/google/material-design-icons,46,9,2,28,153,952,12,119,5,22,1495533
https://github.com/google/guava,45,10,2,274,647,2707,107,1242,5,44,1495533
https://github.com/google/material-design-lite,32,5,1,177,360,1804,29,1147,5,0,1495533
https://github.com/google/googletest,26,8,1,365,195,1721,33,1713,6,16,1495533
https://github.com/google/iosched,21,6,1,57,49,186,23,144,5,0,1495533
https://github.com/google/mediapipe,17,4,0,3,352,2808,50,124,6,2,1495533
https://github.com/google/wire,8,0,0,27,61,149,18,105,7,0,1495533
https://github.com/google/tamperchrome,4,0,0,3,35,70,2,98,5,0,1495533
